scenic_name,Rank,BMscore,Excscore,Hygscore,PTscore,REPscore,TSAscore,TSHscore,TTscore
青海湖（青海）,4.6,4.6067,4.6033,4.6039,4.5984,4.6032,4.5831,4.6098,4.5917
大足石刻（重庆）,4.7,4.707,4.7031,4.7048,4.701,4.7033,4.6819,4.7081,4.6908
南京中山陵与夫子庙,4.4,4.4065,4.4028,4.4042,4.3993,4.4026,4.383,4.4105,4.391
布达拉宫（西藏拉萨）,4.7,4.7058,4.703,4.703,4.6978,4.7021,4.6865,4.7089,4.6929
神农架（湖北）,4.6,4.6073,4.603,4.6042,4.5983,4.6027,4.5826,4.6089,4.5929
西安大雁塔与城墙,4.7,4.7074,4.7031,4.7049,4.6997,4.7028,4.6794,4.7126,4.69
成都武侯祠与宽窄巷子,4.6,4.6068,4.6025,4.6041,4.6011,4.6023,4.5817,4.6109,4.5905
九寨沟（四川）,4.8,4.807,4.8031,4.8046,4.7993,4.8031,4.7814,4.8114,4.7901
上海外滩与东方明珠,4.7,4.7055,4.7034,4.7037,4.6973,4.703,4.6858,4.7099,4.6914
峨眉山（四川）,4.7,4.7072,4.7029,4.7041,4.6989,4.7025,4.6828,4.7092,4.6925
颐和园（北京）,4.8,4.8063,4.8034,4.8044,4.798,4.8031,4.7845,4.8087,4.7916
丽江古城（云南）,4.7,4.7066,4.7036,4.7048,4.6971,4.7037,4.6834,4.7098,4.691
龙门石窟（河南）,4.8,4.8076,4.8033,4.8046,4.799,4.8033,4.7826,4.8076,4.7918
喀纳斯湖（新疆）,4.9,4.9076,4.9036,4.9044,4.8973,4.9036,4.883,4.9077,4.8928
南山竹海（江苏）,4.5,4.5065,4.503,4.5037,4.5002,4.5023,4.483,4.5101,4.4912
深圳大梅沙与欢乐谷,4.8,4.8053,4.8032,4.8037,4.7993,4.8022,4.786,4.8084,4.792
张家界国家森林公园（湖南）,4.5,4.5067,4.5029,4.5043,4.4991,4.5028,4.4834,4.5091,4.4917
庐山（江西）,4.6,4.6071,4.6033,4.6045,4.5991,4.6028,4.5827,4.6084,4.5922
平遥古城（山西）,4.6,4.6071,4.6028,4.6043,4.6009,4.6023,4.5807,4.6117,4.5902
茶卡盐湖（青海）,4.5,4.5068,4.5031,4.5041,4.4974,4.5028,4.4841,4.5083,4.4934
西双版纳（云南）,4.6,4.6066,4.603,4.6038,4.6,4.6022,4.5827,4.6098,4.5919
武当山（湖北）,4.4,4.4066,4.4026,4.4039,4.3985,4.4025,4.3844,4.4084,4.393
长白山（吉林）,4.4,4.4062,4.4026,4.404,4.4004,4.4026,4.3839,4.4089,4.3915
周庄（江苏）,4.5,4.5066,4.5029,4.5041,4.499,4.5023,4.482,4.5122,4.4909
广州白云山与沙面,4.4,4.4065,4.4031,4.4044,4.4003,4.4023,4.3814,4.411,4.391
秦始皇兵马俑（陕西西安）,4.6,4.6068,4.6028,4.6042,4.601,4.6024,4.5817,4.6111,4.5899
额济纳胡杨林（内蒙古）,4.9,4.9077,4.9046,4.905,4.891,4.905,4.8851,4.9083,4.8935
万里长城（八达岭慕田峪等）,4.7,4.7071,4.7028,4.704,4.7002,4.7025,4.683,4.709,4.6914
雁荡山（浙江）,4.9,4.9044,4.9053,4.9047,4.8919,4.9066,4.8996,4.8868,4.9008
黄山（安徽）,4.8,4.8075,4.8038,4.8045,4.7959,4.8036,4.7824,4.81,4.7922
香港维多利亚港,4.5,4.5062,4.5033,4.5041,4.4979,4.5029,4.4821,4.514,4.4894
丹霞山（广东）,4.5,4.5072,4.5032,4.5045,4.4959,4.5031,4.4845,4.5074,4.4941
鼓浪屿（福建厦门）,4.5,4.5065,4.5031,4.5041,4.4993,4.5027,4.4836,4.5088,4.4919
乌镇（浙江）,4.4,4.407,4.403,4.4039,4.3982,4.4025,4.3834,4.4097,4.3924
天坛（北京）,4.8,4.8069,4.8028,4.8047,4.8001,4.8026,4.7807,4.8132,4.7892
故宫（北京）,4.9,4.9065,4.9031,4.9038,4.9016,4.9023,4.8837,4.9085,4.8905
黄龙（四川）,4.5,4.5066,4.5031,4.5044,4.4991,4.5028,4.4828,4.5099,4.4914
三清山（江西）,4.6,4.6075,4.6036,4.6047,4.5966,4.6034,4.5842,4.6065,4.5936
苏州拙政园与留园（江苏）,4.6,4.607,4.603,4.6043,4.5983,4.6024,4.5821,4.6123,4.5907
泰山（山东）,4.8,4.8075,4.8027,4.8045,4.7994,4.8025,4.7816,4.8103,4.7916
重庆洪崖洞与解放碑,4.7,4.7067,4.7029,4.7039,4.6979,4.7027,4.6835,4.7108,4.6916
澳门大三巴牌坊,4.8,4.8057,4.8042,4.8047,4.7985,4.8038,4.7868,4.8055,4.7908
海南三亚天涯海角与亚龙湾,4.6,4.6071,4.603,4.604,4.5975,4.6026,4.5824,4.6114,4.5921
南岳衡山（湖南）,4.5,4.507,4.503,4.5047,4.4986,4.5026,4.4817,4.511,4.4914
华山（陕西）,4.8,4.8084,4.8035,4.8044,4.802,4.803,4.7842,4.7994,4.7952
青岛崂山（山东）,4.7,4.7072,4.7036,4.7046,4.6974,4.7035,4.6833,4.7075,4.6929
承德避暑山庄（河北）,4.6,4.6064,4.6027,4.6043,4.599,4.6027,4.5827,4.6113,4.5911
云冈石窟（山西）,4.8,4.8072,4.803,4.8047,4.7997,4.8031,4.7816,4.8101,4.7906
杭州西湖（浙江）,4.7,4.7063,4.7034,4.7041,4.6969,4.7035,4.6851,4.7087,4.692
武夷山（福建）,4.8,4.8068,4.8033,4.8044,4.7987,4.8029,4.7839,4.8073,4.7928
