scenic_name,Rank,BM_weighted,Exc_weighted,Hyg_weighted,PT_weighted,REP_weighted,TSA_weighted,TSH_weighted,TT_weighted,Category,image_url
周庄（江苏）,4.6,3.1673,3.0552,3.0518,3.0002,3.1036,3.0048,3.113,3.0196,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/0103412000f6sf0uf8ABE_R_1600_10000.jpg
重庆洪崖洞与解放碑,4.7,3.1934,3.0804,3.0582,3.0002,3.101,3.0113,3.0945,3.0202,都市类热门景区,https://dimg04.c-ctrip.com/images/100o10000000phxow959F_R_1600_10000.jpg
长白山（吉林）,4.6,3.243,3.0712,3.0736,3.0003,3.1761,3.0008,3.0593,3.0168,自然风光类景区,https://dimg04.c-ctrip.com/images/100110000000pdwn00DD4_R_1600_10000.jpg
张家界国家森林公园（湖南）,4.6,3.2031,3.0402,3.0566,3.0003,3.1357,3.0037,3.0853,3.0238,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/100u11000000r5jx264DD_R_10000_1200.jpg
云冈石窟（山西）,4.7,3.1769,3.0334,3.0459,3.0003,3.1212,3.0023,3.082,3.0153,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/100h0s000000iak2l9018_R_1600_10000.jpg
颐和园（北京）,4.6,3.1831,3.0871,3.092,3.0002,3.1312,3.0064,3.0938,3.0245,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/10010p000000ftdk87BDF_C_1600_1200.jpg
雁荡山（浙江）,4.7,3.1796,3.0347,3.0733,3.0002,3.1497,3.0006,3.0613,3.0114,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/0102y12000ir8x22aD0CC_R_1600_10000.jpg
香港维多利亚港,4.8,3.0863,3.0728,3.0204,3.0001,3.0842,3.0009,3.2015,3.0111,都市类热门景区,https://dimg04.c-ctrip.com/images/10020y000000m5j4vCC02_C_1600_1200.jpg
西双版纳（云南）,4.7,3.2064,3.0414,3.0589,3.0002,3.103,3.0084,3.1873,3.0223,自然风光类景区,https://dimg04.c-ctrip.com/images/0103w12000a1ha9euC925_R_1600_10000.jpg
西安大雁塔与城墙,4.7,3.134,3.0297,3.0587,3.0005,3.0838,3.0005,3.0458,3.0107,都市类热门景区,https://dimg04.c-ctrip.com/images/10030x000000lfz4dB443_R_1600_10000.jpg
武夷山（福建）,4.8,3.2161,3.0636,3.0808,3.0004,3.1727,3.0006,3.0498,3.0111,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/10040x000000ld1deECBF_R_1600_10000.jpg
武当山（湖北）,4.7,3.1688,3.0373,3.0704,3.0004,3.1403,3.0009,3.0608,3.0145,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/0102r12000a6z45fs7CB1_R_1600_10000.jpg
乌镇（浙江）,4.6,3.1822,3.035,3.0389,3.0002,3.0976,3.0023,3.1032,3.0154,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/1lo4k12000hs4mjbwDBEB_R_1600_10000.jpg
万里长城（八达岭慕田峪等）,4.7,3.2012,3.0364,3.0321,3.0003,3.0838,3.0013,3.0593,3.0168,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/100o0p000000fz1s4D82D_R_1600_10000.jpg
天坛（北京）,4.8,3.1756,3.0426,3.0641,3.0004,3.0659,3.0007,3.086,3.0139,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/10040h0000008s9n50143_C_1600_1200.jpg
泰山（山东）,4.5,3.1809,3.0156,3.038,3.0003,3.0641,3.0007,3.0449,3.0108,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/100v0n000000ebugq5308_C_1600_1200.jpg
苏州拙政园与留园（江苏）,4.6,3.1494,3.0309,3.045,3.0002,3.0806,3.0012,3.0883,3.0118,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/0102o12000f6rc5w8B3FF_R_1600_10000.jpg
神农架（湖北）,4.7,3.1872,3.0241,3.0334,3.0002,3.1209,3.0007,3.0757,3.0124,自然风光类景区,https://dimg04.c-ctrip.com/images/0105p120008a1wpdc9622_R_1600_10000.jpg
深圳大梅沙与欢乐谷,5,3.4587,3.4103,3.1869,3.0043,3.2019,3.001,3.1285,3.0611,都市类热门景区,https://dimg04.c-ctrip.com/images/0103h12000f6t2wh37CED_R_1600_10000.jpg
