scenic_name,Rank,BM_weighted,Exc_weighted,Hyg_weighted,PT_weighted,REP_weighted,TSA_weighted,TSH_weighted,TT_weighted,Category,image_url
青海湖（青海）,4.6,4.8234,4.6192,4.5662,4.4879,4.6913,4.4885,4.5845,4.539,自然风光类景区,https://dimg04.c-ctrip.com/images/100v1a000001a0r694D01_R_1600_10000.jpg
周庄（江苏）,4.5,4.718,4.4671,4.471,4.3904,4.5565,4.3916,4.5918,4.4137,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/0103412000f6sf0uf8ABE_R_1600_10000.jpg
神农架（湖北）,4.6,4.7956,4.5409,4.5751,4.5053,4.6762,4.5059,4.6625,4.5385,自然风光类景区,https://dimg04.c-ctrip.com/images/0105p120008a1wpdc9622_R_1600_10000.jpg
颐和园（北京）,4.8,4.9775,4.8385,4.8326,4.6691,4.9118,4.6775,4.7942,4.6988,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/10010p000000ftdk87BDF_C_1600_1200.jpg
峨眉山（四川）,4.7,4.9359,4.6716,4.6684,4.6042,4.7545,4.6078,4.7249,4.6328,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/0106x12000aa36s2j18B3_C_1600_1200.jpg
九寨沟（四川）,4.8,4.9682,4.7685,4.7843,4.6995,4.9198,4.7028,4.8302,4.7268,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/0103r120009tmf2a51060_C_1600_1200.jpg
承德避暑山庄（河北）,4.6,4.7454,4.562,4.6287,4.507,4.6773,4.5125,4.636,4.5312,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/100g0n000000e4g1o0F98_R_1600_10000.jpg
庐山（江西）,4.6,4.8536,4.5549,4.5936,4.5002,4.6682,4.5011,4.6074,4.521,自然风光类景区,https://dimg04.c-ctrip.com/images/0100612000jhymwth21D4_R_1600_10000.jpg
鼓浪屿（福建厦门）,4.5,4.7153,4.5088,4.5069,4.3913,4.5385,4.3956,4.5214,4.422,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/0105u1200087cqv2aD4F0_R_1600_10000.jpg
重庆洪崖洞与解放碑,4.7,4.8932,4.7281,4.6806,4.5791,4.7919,4.5875,4.7368,4.6029,都市类热门景区,https://dimg04.c-ctrip.com/images/100o10000000phxow959F_R_1600_10000.jpg
武当山（湖北）,4.4,4.6447,4.3848,4.363,4.3014,4.4915,4.3071,4.3781,4.3295,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/0102r12000a6z45fs7CB1_R_1600_10000.jpg
南岳衡山（湖南）,4.5,4.7075,4.4584,4.4916,4.4095,4.5247,4.4101,4.5703,4.428,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/0106c12000jgwsirw845E_R_1600_10000.jpg
青岛崂山（山东）,4.7,4.8996,4.6649,4.7103,4.5805,4.8307,4.5892,4.7103,4.6145,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/010141200087e556s7C80_R_1600_10000.jpg
杭州西湖（浙江）,4.7,4.8904,4.6563,4.6382,4.5583,4.9073,4.5721,4.7871,4.5905,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/100u12000000rzk9v3379_R_1600_10000.jpg
云冈石窟（山西）,4.8,4.9625,4.7604,4.7927,4.697,4.9037,4.6978,4.8672,4.7188,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/100h0s000000iak2l9018_R_1600_10000.jpg
万里长城（八达岭慕田峪等）,4.7,4.9528,4.672,4.6734,4.613,4.7348,4.6136,4.704,4.6364,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/100o0p000000fz1s4D82D_R_1600_10000.jpg
长白山（吉林）,4.4,4.6096,4.3746,4.363,4.2941,4.5117,4.295,4.437,4.315,自然风光类景区,https://dimg04.c-ctrip.com/images/100110000000pdwn00DD4_R_1600_10000.jpg
大足石刻（重庆）,4.7,4.8684,4.6551,4.7482,4.5914,4.8295,4.5925,4.6942,4.6208,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/01030120008rxqtyiB006_C_1600_1200.jpg
秦始皇兵马俑（陕西西安）,4.6,4.8247,4.5785,4.566,4.4975,4.6342,4.4996,4.6777,4.5218,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/0104012000f6rbl4996B9_R_1600_10000.jpg
华山（陕西）,4.8,5,4.777,4.7998,4.7098,4.8541,4.7123,4.7781,4.7357,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/100s0u000000j3fyv47C7_R_1600_10000.jpg
南京中山陵与夫子庙,4.4,4.5763,4.3783,4.4148,4.2988,4.4942,4.2996,4.4112,4.3267,都市类热门景区,https://dimg04.c-ctrip.com/images/100h11000000ripuy3B79_R_1600_10000.jpg
西安大雁塔与城墙,4.7,4.8669,4.6692,4.7169,4.6303,4.7155,4.6304,4.7244,4.6465,都市类热门景区,https://dimg04.c-ctrip.com/images/10030x000000lfz4dB443_R_1600_10000.jpg
天坛（北京）,4.8,4.9934,4.7761,4.7973,4.712,4.8282,4.7133,4.8489,4.7308,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/10040h0000008s9n50143_C_1600_1200.jpg
故宫（北京）,4.9,5,4.8927,4.8774,4.7619,4.8908,4.7652,4.9599,4.7841,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/0100j1200046x94ebB936_R_1600_10000.jpg
雁荡山（浙江）,4.9,4.9787,5,5,4.5425,5,4.5619,4.5808,4.7746,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/0102y12000ir8x22aD0CC_R_1600_10000.jpg
龙门石窟（河南）,4.8,5,4.7769,4.7869,4.6927,4.889,4.6946,4.8,4.7157,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/0102c12000f6sd1co8E56_C_1600_1200.png
喀纳斯湖（新疆）,4.9,5,4.8429,4.8453,4.7973,5,4.798,4.8873,4.8261,自然风光类景区,https://dimg04.c-ctrip.com/images/0105j1200087dmfwr4A14_R_1600_10000.jpg
丽江古城（云南）,4.7,4.7921,4.6873,4.6982,4.5361,4.9754,4.5419,4.7366,4.6323,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/100d0m000000dfh4kDA7D_C_1600_1200.jpg
上海外滩与东方明珠,4.7,4.9397,4.7457,4.6513,4.5194,4.848,4.5412,4.7933,4.5614,都市类热门景区,https://dimg04.c-ctrip.com/images/100s0f0000007gibsA35A_C_1600_1200.jpg
南山竹海（江苏）,4.5,4.8007,4.4411,4.4319,4.3779,4.5003,4.3804,4.6545,4.4131,自然风光类景区,https://dimg04.c-ctrip.com/images/01073120008a5l99d6E9C_R_1600_10000.jpg
黄龙（四川）,4.5,4.6397,4.4905,4.5128,4.4095,4.5838,4.4144,4.5122,4.4371,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/10040j000000adic0A597_C_1600_1200.jpg
张家界国家森林公园（湖南）,4.5,4.7659,4.4578,4.4771,4.39,4.6007,4.3975,4.484,4.427,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/100u11000000r5jx264DD_R_10000_1200.jpg
额济纳胡杨林（内蒙古）,4.9,5,4.8818,4.9246,4.7941,5,4.7997,4.8709,4.8481,自然风光类景区,https://dimg04.c-ctrip.com/images/350a180000015ali783EA_C_1600_1200.jpg
泰山（山东）,4.8,5,4.7573,4.8158,4.7028,4.8493,4.705,4.799,4.7268,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/100v0n000000ebugq5308_C_1600_1200.jpg
香港维多利亚港,4.5,4.62,4.4664,4.4466,4.4026,4.5747,4.4039,4.6645,4.4213,都市类热门景区,https://dimg04.c-ctrip.com/images/10020y000000m5j4vCC02_C_1600_1200.jpg
丹霞山（广东）,4.5,4.6754,4.469,4.5296,4.3797,4.6553,4.3816,4.4759,4.433,自然风光类景区,https://dimg04.c-ctrip.com/images/0105s120006o8e5hx5EF3_R_1600_10000.jpg
深圳大梅沙与欢乐谷,4.8,5,4.8672,4.918,4.4613,4.9166,4.6246,4.8705,4.7315,都市类热门景区,https://dimg04.c-ctrip.com/images/0103h12000f6t2wh37CED_R_1600_10000.jpg
黄山（安徽）,4.8,4.9572,4.7607,4.7924,4.7065,4.9237,4.7084,4.817,4.7342,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/100l0g000000884py6BDE_C_1600_1200.jpg
平遥古城（山西）,4.6,4.8189,4.5576,4.5804,4.4997,4.6455,4.5032,4.6723,4.5224,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/0100512000jcndabi1D54_R_1600_10000.jpg
布达拉宫（西藏拉萨）,4.7,4.9509,4.8157,4.6752,4.5582,4.7542,4.5591,4.7109,4.5758,世界文化与自然遗产类,https://dimg04.c-ctrip.com/images/100t14000000w9glyAC31_R_1600_10000.jpg
澳门大三巴牌坊,4.8,5,4.9019,4.8795,4.5854,4.7621,4.5847,4.9565,4.5971,都市类热门景区,https://dimg04.c-ctrip.com/images/10020p000000g78ewD14B_R_1600_10000.jpg
苏州拙政园与留园（江苏）,4.6,4.8144,4.5705,4.5951,4.4992,4.6393,4.503,4.6621,4.5165,名胜古迹与历史文化景区,https://dimg04.c-ctrip.com/images/0102o12000f6rc5w8B3FF_R_1600_10000.jpg
乌镇（浙江）,4.4,4.6754,4.3622,4.351,4.2945,4.4501,4.2971,4.4538,4.3158,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/1lo4k12000hs4mjbwDBEB_R_1600_10000.jpg
三清山（江西）,4.6,4.8458,4.5672,4.5971,4.4919,4.6825,4.4937,4.6,4.522,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/10030x000000lfzhw4F40_R_1600_10000.jpg
茶卡盐湖（青海）,4.5,4.71,4.461,4.4574,4.4158,4.5658,4.4164,4.5406,4.433,自然风光类景区,https://dimg04.c-ctrip.com/images/0105x120008aossudBF58_R_1600_10000.jpg
海南三亚天涯海角与亚龙湾,4.6,4.771,4.5552,4.5644,4.5107,4.6552,4.5142,4.698,4.5313,都市类热门景区,https://dimg04.c-ctrip.com/images/1lo2w12000bkakwfv4046_R_1600_10000.jpg
西双版纳（云南）,4.6,4.898,4.6149,4.5474,4.4705,4.6083,4.475,4.6803,4.5057,自然风光类景区,https://dimg04.c-ctrip.com/images/0103w12000a1ha9euC925_R_1600_10000.jpg
武夷山（福建）,4.8,5,4.8087,4.8406,4.654,4.9759,4.661,4.7722,4.677,综合类5A国家级景区,https://dimg04.c-ctrip.com/images/10040x000000ld1deECBF_R_1600_10000.jpg
成都武侯祠与宽窄巷子,4.6,4.8314,4.5744,4.5763,4.5075,4.6291,4.5102,4.6436,4.5275,都市类热门景区,https://dimg04.c-ctrip.com/images/0103n12000f6trha712AE_C_1600_1200.jpg
广州白云山与沙面,4.4,4.6574,4.3315,4.4132,4.2862,4.4831,4.2872,4.4374,4.3041,都市类热门景区,https://dimg04.c-ctrip.com/images/0100412000j4relwiB4B9_R_1600_10000.jpg
